,datass_csv
0,"The failure of Barclays to fulfill its commitments, or the inadequacy of the support provided, under certain capital support agreements in favor of a number of cash management funds acquired in the BGI Transaction, could negatively impact such funds and BlackRock. "
0,BlackRock is subject to extensive regulation in the United States and internationally. 
0,BlackRock may be adversely impacted by legal and regulatory changes in the United States and internationally. 
0,"As previously mentioned, on July 21, 2010, the DFA was signed into law in the United States. The DFA is expansive in scope and requires the adoption of extensive regulations and numerous regulatory decisions in order to be implemented. The adoption of these regulations and decisions will in large measure determine the impact of the DFA on BlackRock."
0,BlackRock is subject to banking regulations that may limit its business activities. 
0,"Legal proceedings could adversely affect operating results, financial condition and cash flows for a particular period. "
0,"We are subject to extensive and often complex, overlapping and frequently changing regulation domestically and abroad. Our investment management and related services business and our banking/finance business are subject to extensive and often complex, overlapping and frequently changing regulation in the United States and abroad, including, among others, securities, banking, accounting and tax laws and regulations. Moreover, financial reporting requirements, and the processes, controls and procedures that have been put in place to address them, are often comprehensive and complex. While management has "
0,"focused attention and resources on our compliance policies, procedures and practices, non-compliance with applicable laws or rules or regulations, conflicts of interest requirements or fiduciary principles, either in the United States or abroad, or our inability to keep up with, or adapt to, an often ever changing, complex regulatory environment could result in sanctions against us, including fines and censures, injunctive relief, suspension or expulsion from a certain jurisdiction or market or the revocation of licenses, any of which could also adversely affect our reputation, prospects, revenues, and earnings. "
0,"We are subject to federal securities laws, state laws regarding securities fraud, other federal and state laws and rules and regulations of certain regulatory and self regulatory organizations, including those rules and regulations promulgated by, among others, the SEC, the NASD and the NYSE, and to the extent operations or trading in our securities take place outside the United States, by foreign regulations and regulators, such as the U.K. Listing Authority. Certain of our subsidiaries are registered with the SEC under the Investment Advisers Act of 1940, as amended, and many of our funds are registered with the SEC under the Investment Company Act of 1940, as amended, both of which impose numerous obligations, as well as detailed operational requirements, on our subsidiaries which are investment advisers to registered investment companies. Our subsidiaries, both in the United States and abroad, must comply with a myriad of complex and often changing U.S. and/or foreign regulations, some of which may conflict, including complex U.S. and non-U.S. tax regimes. Additionally, as we expand our operations, sometimes rapidly, into non-U.S. jurisdictions, the rules and regulations of these non-U.S. jurisdictions become applicable, sometimes with short compliance deadlines, and add further regulatory complexity to our ongoing compliance operations."
0,"In addition, we are a bank holding company and a financial holding company subject to the supervision and regulation of the Federal Reserve Board, or FRB, and are subject to the restrictions, limitations, or prohibitions of the Bank Holding Company Act of 1956, as amended, and the Gramm-Leach-Bliley Act. The FRB may impose additional limitations or restrictions on our activities, including if the FRB believes that we do not have the appropriate financial and managerial resources to commence or conduct an activity or make an acquisition. Further, our subsidiary, Fiduciary Trust, is subject to extensive regulation, supervision and examination by the FDIC and New York State Banking Department, while other subsidiaries are subject to oversight by the Office of Thrift Supervision and various state regulators. The laws and regulations imposed by these regulators generally involve restrictions and requirements in connection with a variety of technical, specialized and recently expanding matters and concerns. For example, compliance with anti-money laundering and Know-Your-Customer requirements, both domestically and internationally, and the Bank Secrecy Act has taken on heightened importance with regulators as a result of efforts to, among other things, limit terrorism. At the same time, there has been increased regulation with respect to the protection of customer privacy and the need to secure sensitive customer information. As we continue to address these requirements or focus on meeting new or expanded ones, we may expend a substantial amount of time and resources, even though our banking/finance business does not constitute our dominant business sector. Moreover, any inability to meet these requirements, within the timeframes set by regulators, may subject us to sanctions or other restrictions by the regulators that impact our broader business."
0,"Regulatory and legislative actions and reforms are making the regulatory environment in which we operate more costly and future actions and reforms could adversely impact our assets under management, increase costs and negatively impact our profitability and future financial results. Since 2001, the federal securities laws have been augmented substantially and made significantly more complex by, among other measures, the Sarbanes-Oxley Act of 2002 and the USA Patriot Act of 2001. Moreover, changes in the interpretation or enforcement of existing laws or regulations have directly affected our business. With new laws and changes in interpretation and enforcement of existing requirements, the associated time we must dedicate to, and related costs we must incur in, meeting the regulatory complexities of our business have"
0,increased and these outlays have also increased as we expand our business into various non-U.S. 
0,"jurisdictions. For example, in the past few years following the enactment of the Sarbanes-Oxley Act of "
0,"2002, new rules of the SEC, NYSE and NASD were promulgated and other rules revised. Among other things, these new requirements have necessitated us to make changes to our corporate governance and public disclosure policies, procedures and practices and our registered investment companies and investment advisers have been required to make similar changes. In addition, complex accounting and financial reporting requirements have been implemented in the past several years pursuant to the Sarbanes-Oxley Act of 2002 and the rules of the SEC and the Public Company Accounting Oversight Board, which apply across differing legal entities within our corporate structure and varied geographical and/or jurisdictional areas in which we operate. Compliance activities to meet these new requirements have required us to expend additional time and resources, including without limitation substantial efforts to conduct evaluations required to ensure compliance with the management certification and attestation requirements under the Sarbanes-Oxley Act of 2002, and, consequently, we are incurring increased costs of doing business, which potentially negatively impacts our profitability and future financial results. Moreover, any potential accounting or reporting error, whether financial or otherwise, if material, could damage our reputation, adversely affect our ability to conduct business, and decrease revenue and net income. Finally, any regulatory and legislative actions and reforms affecting the mutual fund industry, including compliance initiatives, may negatively impact revenues by increasing our costs of accessing or dealing in the financial markets."
0,"Any significant limitation or failure of our software applications and other technology systems that are critical to our operations could constrain our operations. We are highly dependent upon the use of various proprietary and third-party software applications and other technology systems to operate our business. We use our technology to, among other things, obtain securities pricing information, process client transactions and provide reports and other customer services to the clients of the funds we manage. Any inaccuracies, delays or systems failures in these and other processes could subject us to client dissatisfaction and losses. Although we take protective measures, including measures to effectively secure information through system security technology, our technology systems may still be vulnerable to unauthorized access, computer viruses or other events that have a security impact, such as an authorized employee or vendor inadvertently causing us to release confidential information, which could materially damage our operations or cause the disclosure or modification of sensitive or confidential information. Moreover, loss of confidential customer identification information could harm our reputation. Further, although we take precautions to password protect our laptops and other mobile electronic hardware, if such hardware is stolen, misplaced or left unattended, it may become vulnerable to hacking or other unauthorized use, creating a possible security risk and resulting in potentially costly actions by us. Most of the software applications that we use in our business are licensed from, and supported, upgraded and maintained by, third-party vendors. A suspension or termination of certain of these licenses or the related support, upgrades and maintenance could cause "
0,"temporary system delays or interruption. In addition, we have outsourced to a single vendor the operation of our U.S. data centers, which includes responsibility for processing data and managing the centers. This vendor is also responsible for our disaster recovery systems. A failure by this vendor to continue to manage our U.S. data centers and our disaster recovery systems adequately in the future could have a material adverse impact on our business. Moreover, although we have in place certain disaster recovery plans, we may experience system delays and interruptions as a result of natural disasters, power failures, acts of war, and third party failures. Technology is subject to rapid change and we cannot guarantee that our competitors may not implement more advanced Internet platforms for their products which could affect our business. Potential system failures or breaches, or advancements in technology, and the cost necessary to address them, could result in material financial loss or costs, regulatory actions, breach of client contracts, reputational harm or legal claims and liability, which in turn could negatively impact our revenues and income. "
0,"We face risks, and corresponding potential costs and expenses, associated with conducting operations and growing our business in numerous foreign countries. We sell mutual funds and offer investment management and related services in many different regulatory jurisdictions around the world, and intend to continue to expand our operations internationally. As we do so, we will continue to face various ongoing challenges to ensure that we have sufficient resources, procedures and controls in place to address and ensure that our operations abroad operate consistently and effectively. In order to remain competitive, we must be proactive and prepared to implement necessary resources when growth opportunities present themselves, whether as a result of a business acquisition or rapidly increasing business activities in particular markets or regions. As we grow, we face a heightened risk that the necessary resources and/or personnel will be unavailable to take full advantage of strategic opportunities when they appear or that strategic decisions can be efficiently implemented. Local regulatory environments may vary widely, as may the adequacy and sophistication of each. Similarly, local distributors, and their policies and practices as well as financial viability, may be inconsistent or less developed or mature. Notwithstanding potential long-term cost savings by increasing certain operations, such as transfer agent and other back-office operations, in countries or regions of the world with lower operating costs, growth of our international operations may involve near-term increases in expenses as well as additional capital costs, such as information, systems and technology costs and costs related to compliance with particular regulatory or other local requirements or needs. Local requirements or needs may also place additional demands on sales and compliance personnel and resources, such as meeting local language requirements while also integrating personnel into an organization with a single operating language. Finding and hiring additional, well-qualified personnel and crafting and adopting policies, procedures and controls to address local or regional requirements remain a challenge as we expand our operations internationally. Moreover, regulators in non-U.S. jurisdictions could also change their policies or laws in a manner that might restrict or otherwise impede our ability to distribute or register investment products in their respective markets. Any of these local requirements, activities or needs could increase the costs and expenses we incur in a specific jurisdiction without any corresponding increase in revenues and income from operating in the jurisdiction. "
0,"We depend on key personnel and our financial performance could be negatively affected by the loss of their services. The success of our business will continue to depend upon our key personnel, including our portfolio and fund managers, investment analysts, investment advisers, sales and management personnel and other professionals as well as our executive officers and business unit heads. In a tightening labor market, competition for qualified, motivated and highly skilled executives, professionals and other key personnel in the asset management and banking/finance industries remains significant. Our success depends to a substantial degree upon our ability to attract, retain and motivate qualified individuals, including through competitive compensation packages, and upon the continued contributions of these people. As our business grows, we are likely to need to increase correspondingly the overall number of individuals that we employ. Moreover, in order to retain certain key personnel, we may be required to increase compensation to "
0,"such individuals, resulting in additional expense without a corresponding increase in potential revenue. We cannot assure you that we will be successful in attracting and retaining qualified individuals, and the departure of key investment personnel, in particular, if not replaced, could cause us to lose clients, which could have a material adverse effect on our financial condition, results of operations and business prospects. "
0,"Strong competition from numerous and sometimes larger companies with competing offerings and products could limit or reduce sales of our products, potentially resulting in a decline in our market share, revenues and net income. We compete with numerous asset management companies, mutual fund, stock brokerage and investment banking firms, insurance companies, banks, savings and loan associations and other financial institutions. Our investment products also compete with products offered by these competitors as well as real estate investment trusts, hedge funds and others. Over the past decade, a significant number of new asset management firms and mutual funds have been established, increasing competition. At the same time, consolidation in the financial services industry has created stronger competitors with greater financial resources and broader distribution channels than our own. Competition is based on various factors, including, among others, business reputation, investment performance, product offerings, service quality, distribution relationships, and fees charged. Additionally, competing securities broker/dealers whom we rely upon to distribute and sell our mutual funds may also sell their own proprietary funds and investment products, which could limit the distribution of our investment products. To the extent that existing or potential customers, including securities broker/dealers, decide to invest in or distribute the products of our competitors, the sales of our products as well as our market share, revenues and net income could decline. Our ability to attract and retain assets under our management is also dependent on the relative investment performance of our funds and other managed investment portfolios, offering a mix of sponsored investment products that meets investor demand and our ability to maintain our investment management services fees at competitive levels. "
0,"Changes in the distribution channels on which we depend could reduce our revenues and hinder our growth. We derive nearly all of our fund sales through broker/dealers and other similar investment advisers. Increasing competition for these distribution channels and recent regulatory initiatives have caused our distribution costs to rise and could cause further increases in the future or could otherwise negatively impact the distribution of our products. Higher distribution costs lower our net revenues and earnings. Additionally, if one or more of the major financial advisers who distribute our products were to cease operations or limit or otherwise end the distribution of our products, it could have a significant adverse impact on our revenues and earnings. There is no assurance we will continue to have access to the third-party broker/dealers and similar investment advisers that currently distribute our products, or continue to have the opportunity to offer all or some of our existing products through them. A failure to maintain strong business relationships with the major investment advisers who currently distribute our products may also impair our distribution and sales operations. Because we use broker/dealers and other similar investment advisers to sell our products, we do not control the ultimate investment recommendations given to clients. Any inability to access and successfully sell our products to clients through third-party distribution channels could have a negative effect on our level of assets under management, related revenues and overall business and financial condition. "
0,"The amount or mix of our assets under management are subject to significant fluctuations and could negatively impact our revenues and income. We have become subject to an increased risk of asset volatility from changes in the domestic and global financial and equity markets. Individual financial and equity markets may be adversely affected by political, financial or other instabilities that are particular to the country or regions in which a market is located, including without limitation local acts of terrorism, economic crises or other business, social or political crises. Declines in these markets have caused in the past, and would cause in the future, a decline in our revenues and income. Global economic conditions, exacerbated by war or terrorism or financial crises, changes in the equity market place, currency exchange rates, interest rates, inflation rates, the yield curve and other factors that are difficult to predict affect the "
0,"mix, market values and levels of our assets under management. Our investment management services revenues are derived primarily from fees based on a percentage of the value of assets under management and vary with the nature of the account or product managed. A decline in the price of stocks or bonds, or in particular market segments, or in the securities market generally, could cause the value and returns on our assets under management to decline, resulting in a decline in our revenues and income. Moreover, changing market conditions may cause a shift in our asset mix between international and U.S. assets, potentially resulting in a decline in our revenue and income depending upon the nature of our assets under management and the level of management fees we earn based on them. Additionally, changing market conditions may cause a shift in our asset mix towards fixed-income products and a related decline in our revenue and income, as we generally derive higher fee revenues and income from equity assets than from fixed-income products we manage. On the other hand, increases in interest rates, in particular if rapid, or high interest rates, as well as any uncertainty in the future direction of interest rates, may have a negative impact on our fixed-income products as rising interest rates or interest rate uncertainty typically decrease the total return on many bond investments due to lower market valuations of existing bonds. Any decrease in the level of assets under management resulting from price declines, interest rate volatility or uncertainty or other factors could negatively impact our revenues and income. "
0,"Our increasing focus on international markets as a source of investments and sales of investment products subject us to increased exchange rate and other risks in connection with earnings and income generated overseas. While we operate primarily in the United States, we also provide services and earn revenues in The Bahamas, Canada, Europe, Asia, South America, Africa, Australia and Mexico. As a result, we are subject to foreign exchange risk through our foreign operations. While we have taken steps to reduce our exposure to foreign exchange risk, for example, by denominating a significant amount of our transactions in U.S. dollars, the situation may change in the future as our business continues to grow outside the United States. Stabilization or appreciation of the U.S. dollar could moderate revenues from sales of investment products internationally or could affect relative investment performance of certain funds invested in non-U.S. securities. Separately, management fees that we earn tend to be higher in connection with international assets under management than with U.S. assets under management. Consequently, a downturn in international markets could have a significant effect on our revenues and income. Moreover, as our business grows in non-U.S. markets, any business, social and political unrest affecting these markets, in addition to any direct consequences such unrest may have on our personnel and facilities located in the affected area, may also have a more lasting impact on the long-term investment climate in these and other areas and, as a result, our assets under management and the corresponding revenues and income that we generate from them may be negatively affected. "
0,"Poor investment performance of our products could affect our sales or reduce the level of assets under management, potentially negatively impacting our revenues and income. Our investment performance, along with achieving and maintaining superior distribution and client services, is critical to the success of our investment management and related services business. Strong investment performance often stimulates sales of our investment products. Poor investment performance as compared to third-party benchmarks or competitive products could lead to a decrease in sales of investment products we manage and stimulate redemptions from existing products, generally lowering the overall level of assets under management and reducing the management fees we earn. We cannot assure you that past or present investment performance in the investment products we manage will be indicative of future performance. Any poor future performance may negatively impact our revenues and income. "
0,"We could suffer losses in earnings or revenue if our reputation is harmed. Our reputation is important to the success of our business. The Franklin Templeton Investments brand has been, and continues to be, extremely well received both in our industry and with our clients, reflecting the fact that our brand, like our business, is based in part on trust and confidence. If our reputation is harmed, existing clients may reduce "
0,"amounts held in, or withdraw entirely from, funds that we advise or funds may terminate their management agreements with us, which could reduce the amount of assets under management and cause us to suffer a corresponding loss in earnings or revenue. Moreover, reputational harm may cause us to lose current employees and we may be unable to continue to attract new ones with similar qualifications, motivations or skills. If we fail to address, or appear to fail to address, successfully and promptly the underlying causes of any reputational harm, we may be unsuccessful in repairing any existing harm to our reputation and our future business prospects would likely be affected. "
0,"Our future results are dependent upon maintaining an appropriate level of expenses, which is subject to fluctuation. The level of our expenses is subject to fluctuation and may increase for the following or other reasons: changes in the level and scope of our advertising expenses in response to market conditions; variations in the level of total compensation expense due to, among other things, bonuses, changes in our employee count and mix, and competitive factors; changes in expenses and capital costs, including costs incurred to maintain and enhance our administrative and operating services infrastructure; and an increase in insurance expenses including through the assumption of higher deductibles and/or co-insurance liability. "
0,"Our ability to successfully integrate widely varied business lines can be impeded by systems and other technological limitations. Our continued success in effectively managing and growing our business, both domestically and abroad, depends on our ability to integrate the varied accounting, financial, information and operational systems of our various businesses on a global basis. Moreover, adapting or developing our existing technology systems to meet our internal needs, as well as client needs, industry demands and new regulatory requirements, is also critical for our business. The constant introduction of new technologies presents new challenges to us. We have an ongoing need to continually upgrade and improve our various technology systems, including our data processing, financial, accounting and trading systems. Further, we also must be proactive and prepared to implement technology systems when growth opportunities present themselves, whether as a result of a business acquisition or rapidly increasing business activities in particular markets or regions. These needs could present operational issues or require, from time to time, significant capital spending. It also may require us to reevaluate the current value and/or expected useful lives of our technology systems, which could negatively impact our results of operations. "
0,"Our inability to successfully recover should we experience a disaster or other business continuity problem could cause material financial loss, loss of human capital, regulatory actions, reputational harm or legal liability. Should we experience a local or regional disaster or other business continuity problem, such as a pandemic or other natural or man-made disaster, our continued success will depend, in part, on the availability of our personnel, our office facilities and the proper functioning of our computer, telecommunication and other related systems and operations. While our operational size, the diversity of locations from which we operate, and our redundant back-up systems provide us with a strong advantage should we experience a local or regional disaster or other business continuity event, we could still experience near-term operational challenges, in particular depending upon how a local or regional event may affect our human capital across our operations or with regard to particular segments of our operations, such as key executive officers or personnel in our technology group. Moreover, as we grow our operations in particular areas, such as India, the potential for particular types of natural or man-made disasters, political, economic or infrastructure instabilities, or other country- or region-specific business continuity risks increases. Past disaster recovery efforts have demonstrated that even seemingly localized events may require broader disaster recovery efforts throughout our operations and, consequently, we are constantly assessing and taking steps to improve upon our existing business continuity plans and key management succession. However, a disaster on a significant scale or affecting certain of our key operating areas within or across regions, or our inability to successfully recover should we experience a disaster or other business continuity problem, could materially interrupt our business operations and cause material financial loss, loss of human capital, regulatory actions, reputational harm or legal liability. "
0,"Certain of the portfolios we manage, including our emerging market portfolios, are vulnerable to market-specific political, economic or other risks, any of which may negatively impact our revenues and income. Our emerging market portfolios and revenues derived from managing these portfolios are subject to significant risks of loss from political, economic, and diplomatic developments, currency fluctuations, social instability, changes in governmental polices, expropriation, nationalization, asset confiscation and changes in legislation related to foreign ownership. Foreign trading markets, particularly in some emerging market countries, are often smaller, less liquid, less regulated and significantly more volatile than the U.S. and other established markets. "
0,"Our revenues, earnings and income could be adversely affected if the terms of our management agreements are significantly altered or these agreements are terminated by the funds we advise. Our revenues are dependent on fees earned under investment management and related services agreements that we have with the funds we advise. These revenues could be adversely affected if these agreements are altered significantly or terminated. The decline in revenue that might result from alteration or termination of our investment management services agreements could have a material adverse impact on our earnings or income. "
0,"Diverse and strong competition limits the interest rates that we can charge on consumer loans. We compete with many types of institutions for consumer loans, which can provide loans at significantly below-market interest rates or in some cases zero interest rates in connection with automobile sales. Our inability to compete effectively against these companies or to maintain our relationships with the various automobile dealers through whom we offer consumer loans could limit the growth of our consumer loan business. Economic and credit market downturns could reduce the ability of our customers to repay loans, which could cause losses to our consumer loan portfolio. "
0,"Civil litigation arising out of or relating to previously settled governmental investigations or other matters, governmental or regulatory investigations and/or examinations and the legal risks associated with our business could adversely impact our assets under management, increase costs and negatively impact our profitability and/or our future financial results. We have been named in shareholder class action, derivative, and other lawsuits, many of which arise out of or relate to previously settled governmental investigations. While management believes that the claims made in these lawsuits are without merit, and intends to vigorously defend against them, litigation typically is an expensive process. Risks associated with legal liability often are difficult to assess or quantify and their existence and magnitude can remain unknown for significant periods of time. Moreover, settlements or judgments against us have the potential of being substantial if we are unsuccessful in settling or otherwise resolving matters early in the process and/or on favorable terms. It is also possible that we may be named in additional civil or governmental actions similar to those already instituted. From time to time we may receive requests for documents or other information from governmental authorities or regulatory bodies or we also may become the subject of governmental or regulatory investigations and/or examinations. Moreover, governmental or regulatory investigations or examinations that have been inactive could become active. We may be obligated, and under our standard form of indemnification agreement with certain officers and directors in some instances we are obligated, or we may choose, to indemnify directors, officers or employees against liabilities and expenses they may incur in connection with such matters to the extent permitted under applicable law. Eventual exposures from and expenses incurred relating to current and future litigation, investigations, examinations and settlements could adversely impact our assets under management, increase costs and negatively impact our profitability and/or our future financial results. Judgments or findings of wrongdoing by regulatory or governmental authorities or in civil litigation against us could affect our reputation, increase our costs of doing business and/or negatively impact our revenues, any of which could have a material negative impact on our financial results. "
0,"Volatility and disruption in world capital and credit markets, as well as adverse changes in the global economy, can negatively affect Invesco's revenues, operations, financial condition and liquidity. "
0,"In recent years, capital and credit markets have experienced substantial volatility. In this regard: "
0,"In the event of extreme circumstances, including economic, political, or business crises, such as a widespread systemic failure or disruptions in the global financial system or failures of firms that have significant obligations as counterparties on financial instruments, we may suffer significant declines in AUM and severe liquidity or valuation problems in managed investment products in which client and company assets are invested, all of which would adversely affect our operating results, financial condition, liquidity, credit ratings, ability to access capital markets, and retention and ability to attract key employees. Additionally, these factors could impact our ability to realize the carrying value of our goodwill and other intangible assets. "
0,"In addition to the impact of the market volatility on client portfolios, illiquidity and/or volatility of the global fixed income and/or equity markets could negatively affect our ability to manage client inflows and outflows or to timely meet client redemption requests. "
0,"Our money market funds have always maintained a net asset value (NAV) of $1.00 per share; however, we do not guarantee such level. Market conditions could lead to severe liquidity issues in money market products, which could affect their NAVs."
0,"Even if central bank, legislative or regulatory initiatives or other efforts continue to stabilize the financial markets, we may need to modify our strategies, businesses or operations, and we may incur increased capital requirements and constraints or additional costs in order to satisfy new regulatory requirements or to compete in a changed business environment. "
0,We may not adjust our expenses quickly enough to match significant deterioration in global financial markets. 
0,"If we are unable to effect appropriate expense reductions in a timely manner in response to declines in our revenues, or if we are otherwise unable to adapt to rapid changes in the global marketplace, our profitability, financial condition and results of operations would be adversely affected. "
0,"We derive substantially all of our revenues from investment management contracts with clients. Under these contracts, the investment management fees paid to us are typically based on the market value of AUM. AUM may decline for various reasons. For any period in which revenues decline, our income and operating margin likely would decline by a greater proportion because a majority of expenses remain fixed. Factors that could decrease AUM (and therefore revenues) include the following: "
0,"actively managed equity and balanced accounts, along with real estate and other alternative asset products, and lower fees earned on fixed income, stable return accounts, and certain ETFs. Our revenues may decline if clients continue to shift their investments to lower fee accounts. In addition, the loss of key personnel or significant investment management professionals could reduce the attractiveness of our products to current and potential clients and adversely affect our revenues and profitability. "
0,"Investments in international markets . Investment products that we manage may have significant investments in international markets that are subject to significant risks of loss from political, economic, and diplomatic developments, currency fluctuations, social instability, changes in governmental policies, expropriation, nationalization and asset confiscation. International trading markets, particularly emerging markets and frontier markets, are often smaller, less liquid, less regulated and significantly more volatile than those in the developed world. "
0,"Certain institutional investors using money market products and other short-term duration fixed income products for cash management purposes may shift these investments to direct investments in comparable instruments in order to realize higher yields than those available in money market and other fund products holding lower yielding instruments. These redemptions would reduce managed assets, thereby reducing our revenues. In addition, rising interest rates will tend to reduce the market value of fixed income investments and fixed income derivatives held in various investment portfolios and other products. Thus, increases in interest rates could have an adverse effect on our revenues from money market portfolios and from other fixed income products. If securities within a money market portfolio default or investor redemptions force the portfolio to realize losses, there could be negative pressure on its NAV. Although money market investments are not guaranteed instruments, the company might decide, under such a scenario, that it is in its best interest to provide support in the form of a support agreement, capital infusion, or other methods to help stabilize a declining NAV. Some of these methods could have an adverse impact on our profitability. Additionally, we have investments in fixed income assets, including collateralized loan obligations and seed money in fixed income funds, the valuation of which could change with changes in interest and default rates. "
0,Performance fees may increase revenue and earnings volatility. 
0,The soundness of other financial institutions could adversely affect us. 
0,"Financial services institutions are interrelated as a result of trading, clearing, counterparty, or other relationships. We, and the products and accounts that we manage, have exposure to many different industries and counterparties, and routinely execute transactions with counterparties in the financial services industry, including brokers and dealers, commercial banks, investment banks, clearing organizations, hedge funds, and other institutional clients. Many of these transactions expose us or the funds and accounts that we manage to credit risk in the event of default of its counterparty. While we regularly conduct assessments of such risk posed by our counterparties, the risk of non-performance by such parties is subject to sudden swings in the financial and credit markets. "
0,Our financial condition and liquidity would be adversely affected by losses on our seed capital and co-investments . 
0,"We operate in an industry that is highly regulated in many countries, and any enforcement action or adverse changes in the laws or regulations governing our business could decrease our revenues and profitability. "
0,"As with all investment management companies, our activities are highly regulated in almost all countries in which we conduct business. Laws and regulations applied at the national, state or provincial and local level generally grant governmental agencies and industry self-regulatory authorities broad administrative discretion over our activities, including the power to limit or restrict our business activities, conduct examinations, risk assessments, investigations and capital adequacy reviews, and impose remedial programs to address perceived deficiencies. As a result of regulatory oversight, we could face requirements which negatively impact the way in which we conduct business, increase compliance costs, impose additional capital requirements and/or involve enforcement actions which could lead to sanctions up to and including the revocation of licenses to operate certain businesses, the suspension or expulsion from a particular jurisdiction or market of any of our business organizations or their key personnel, or the imposition of fines and censures on us or our employees. Judgments or findings of wrongdoing by regulatory or governmental authorities, or in private litigation against us, could affect our reputation, increase our costs of doing business and/or negatively impact our revenues, any of which could have a material negative impact on our results of operations, financial condition or liquidity. "
